ts_utc,btc_price,bull_score,phase_label,ret_7d,ret_30d,ema20,ema50,ema200,ema20_gt_ema50,ema50_gt_ema200,price_gt_ema200,fr_current,fr_state,cb_premium,cb_state,oi_change_24h,vol_ratio,drawdown_90d
2026-06-28T12:08:42.724798+00:00,60354.0,-8,強弱気,-0.05825482076039912,-0.17852631808183972,63239.2912841715,67025.64617784822,77233.28009374319,False,False,False,0.001355,hot,-0.001598568446167664,cold,-0.017145272966991087,0.28094933736513483,-0.26547064572230417
2026-06-28T17:07:56.473503+00:00,59804.3,-8,強弱気,-0.06803915824118278,-0.18600824277532169,63186.93890321912,67004.08931510312,77227.8104420019,False,False,False,0.00443,hot,-0.0013756535901265304,cold,-0.019497228268839928,0.2318527345310672,-0.27216068757614065
2026-06-28T22:08:54.216345+00:00,59719.3,-8,強弱気,-0.05681150539196789,-0.1871651712798622,63178.84366512388,67000.75598176979,77226.96467085762,False,False,False,0.00443,hot,-0.0016967713955120328,cold,-0.01646897969600991,0.29157535822996133,-0.2731951673970905
2026-06-29T15:03:45.522854+00:00,59182.8,-6,強弱気,-0.0861873829416332,-0.19880435533065022,62782.52448182057,66679.21122843362,76973.09606175711,False,False,False,0.007444,hot,-0.0004955831761931126,neutral,-0.004281305366518717,0.7644421309708748,-0.2797245606199089
2026-06-30T06:09:45.756058+00:00,59559.1,-8,強弱気,-0.05297294031222477,-0.19169891007989492,62562.28984497377,66435.38521171271,76730.29908775577,False,False,False,0.006175,hot,-0.0018783023920777068,cold,-0.029410158007296627,0.570273118913549,-0.27514485760081
2026-06-30T10:00:16.200132+00:00,59377.8,-8,強弱気,-0.050192272008906524,-0.19415940709214852,62545.02317830711,66428.27540779115,76728.49510765627,False,False,False,0.008349,hot,-0.001492813812569671,cold,-0.022510718184064138,0.5799874068969871,-0.27735134220714175
2026-06-30T15:09:12.760977+00:00,58339.5,-9,強弱気,-0.06782233826163508,-0.20825060426712338,62446.13746402139,66387.55776073232,76718.16376437269,False,False,False,0.008349,hot,-0.001881229698574722,cold,0.025369113544345456,0.7815376346007871,-0.2899878174788144
2026-06-30T21:13:32.654372+00:00,58576.3,-9,強弱気,-0.06445868377089436,-0.20503689388377166,62468.68984497377,66396.84403524213,76720.51998327817,False,False,False,0.003327,hot,-0.001965812111724391,cold,0.028303107878237643,1.0538803698975343,-0.28710587840115653
2026-07-03T00:03:31.514515+00:00,61458.8,-6,強弱気,0.03449622450319323,-0.04165289256198346,62134.17105394646,65774.06056611404,76006.3027933177,False,False,False,0.01,hot,-0.0014583753669125438,cold,0.06355067860050956,1.1775504214170769,-0.25202484212012366
2026-07-03T04:07:32.642766+00:00,61402.4,-7,強弱気,0.024472934282796954,-0.04253235615156714,62128.79962537504,65771.84880140817,76005.74159928785,False,False,False,0.01,hot,-0.0016020546428153072,cold,0.03324197517523553,1.1591738363793342,-0.25271124990720095
